country,alpha_2_code,alpha_3_code,numeric_code,indicator,time_period,obs_value,sex,unit_multiplier,unit_of_measure,observation_status,observation_confidentaility,time_period_activity_related_to_when_the_data_are_collected,current_age
Uganda,UG,UGA,800,Out-of-school rate for youth of upper secondary school age (administrative data),2017,77.54351,Female,,%,,,,Total
Uganda,UG,UGA,800,Out-of-school rate for youth of upper secondary school age (administrative data),2017,72.41855,Male,,%,,,,Total
Uganda,UG,UGA,800,Out-of-school rate for youth of upper secondary school age (administrative data),2017,75.00986,Total,,%,,,,Total
Ukraine,UA,UKR,804,Out-of-school rate for youth of upper secondary school age (administrative data),2014,4.31127,Female,,%,,,,Total
Ukraine,UA,UKR,804,Out-of-school rate for youth of upper secondary school age (administrative data),2014,7.38249,Male,,%,,,,Total
Ukraine,UA,UKR,804,Out-of-school rate for youth of upper secondary school age (administrative data),2014,5.88308,Total,,%,,,,Total
United Arab Emirates,AE,ARE,784,Out-of-school rate for youth of upper secondary school age (administrative data),2020,1.83229,Female,,%,,,,Total
United Arab Emirates,AE,ARE,784,Out-of-school rate for youth of upper secondary school age (administrative data),2020,2.51924,Male,,%,,,,Total
United Arab Emirates,AE,ARE,784,Out-of-school rate for youth of upper secondary school age (administrative data),2020,2.17404,Total,,%,,,,Total
United Kingdom,GB,GBR,826,Out-of-school rate for youth of upper secondary school age (administrative data),2019,3.04646,Female,,%,,,,Total
United Kingdom,GB,GBR,826,Out-of-school rate for youth of upper secondary school age (administrative data),2019,3.80267,Male,,%,,,,Total
United Kingdom,GB,GBR,826,Out-of-school rate for youth of upper secondary school age (administrative data),2019,3.43264,Total,,%,,,,Total
"Tanzania, United Republic of",TZ,TZA,834,Out-of-school rate for youth of upper secondary school age (administrative data),2016,87.72816,Female,,%,,,,Total
"Tanzania, United Republic of",TZ,TZA,834,Out-of-school rate for youth of upper secondary school age (administrative data),2016,83.84053,Male,,%,,,,Total
"Tanzania, United Republic of",TZ,TZA,834,Out-of-school rate for youth of upper secondary school age (administrative data),2016,85.77532,Total,,%,,,,Total
United States,US,USA,840,Out-of-school rate for youth of upper secondary school age (administrative data),2019,4.94948,Female,,%,,,,Total
United States,US,USA,840,Out-of-school rate for youth of upper secondary school age (administrative data),2019,2.59924,Male,,%,,,,Total
United States,US,USA,840,Out-of-school rate for youth of upper secondary school age (administrative data),2019,3.75075,Total,,%,,,,Total
Uruguay,UY,URY,858,Out-of-school rate for youth of upper secondary school age (administrative data),2019,7.87026,Female,,%,,,,Total
Uruguay,UY,URY,858,Out-of-school rate for youth of upper secondary school age (administrative data),2019,13.39377,Male,,%,,,,Total
Uruguay,UY,URY,858,Out-of-school rate for youth of upper secondary school age (administrative data),2019,10.68979,Total,,%,,,,Total
Uzbekistan,UZ,UZB,860,Out-of-school rate for youth of upper secondary school age (administrative data),2019,14.67173,Female,,%,,,,Total
Uzbekistan,UZ,UZB,860,Out-of-school rate for youth of upper secondary school age (administrative data),2019,13.94742,Male,,%,,,,Total
Uzbekistan,UZ,UZB,860,Out-of-school rate for youth of upper secondary school age (administrative data),2019,14.30174,Total,,%,,,,Total
Vanuatu,VU,VUT,548,Out-of-school rate for youth of upper secondary school age (administrative data),2020,52.46674,Female,,%,,,,Total
Vanuatu,VU,VUT,548,Out-of-school rate for youth of upper secondary school age (administrative data),2020,58.46037,Male,,%,,,,Total
Vanuatu,VU,VUT,548,Out-of-school rate for youth of upper secondary school age (administrative data),2020,55.59125,Total,,%,,,,Total
"Venezuela, Bolivarian Republic of",VE,VEN,862,Out-of-school rate for youth of upper secondary school age (administrative data),2017,18.9707,Female,,%,,,,Total
"Venezuela, Bolivarian Republic of",VE,VEN,862,Out-of-school rate for youth of upper secondary school age (administrative data),2017,27.59017,Male,,%,,,,Total
"Venezuela, Bolivarian Republic of",VE,VEN,862,Out-of-school rate for youth of upper secondary school age (administrative data),2017,23.36318,Total,,%,,,,Total
Yemen,YE,YEM,887,Out-of-school rate for youth of upper secondary school age (administrative data),2016,67.67506,Female,,%,,,,Total
Yemen,YE,YEM,887,Out-of-school rate for youth of upper secondary school age (administrative data),2016,45.60837,Male,,%,,,,Total
Yemen,YE,YEM,887,Out-of-school rate for youth of upper secondary school age (administrative data),2016,56.44408,Total,,%,,,,Total
Zimbabwe,ZW,ZWE,716,Out-of-school rate for youth of upper secondary school age (administrative data),2015,45.02828,Female,,%,,,,Total
Zimbabwe,ZW,ZWE,716,Out-of-school rate for youth of upper secondary school age (administrative data),2015,40.3382,Male,,%,,,,Total
Zimbabwe,ZW,ZWE,716,Out-of-school rate for youth of upper secondary school age (administrative data),2020,55.27636,Total,,%,,,,Total
